feature,importance
simulation_pret_immobilier,0.4835760304969456
augmentation_epargne_recente,0.4369371023802065
age,0.03446556227644531
nb_connexions_mois,0.008350611446961868
ratio_depenses_revenus,0.0057307282128064305
montant_moyen_transactions,0.004434114420143277
revenu_mensuel,0.003870663907087313
nb_transactions_mois,0.003708186067366773
anciennete_banque_mois,0.0035009017172294354
epargne_totale,0.0033243511112781734
nb_visites_agence_6mois,0.001787240961230428
nb_enfants,0.0015526093765977555
csp,0.001360170799745402
nb_produits_bancaires,0.001221902636827502
region,0.00118028678977635
situation_familiale,0.0010169964994744922
recherche_pret_perso_recent,0.001016332545407848
nb_appels_conseiller_6mois,0.000760011580223959
credits_en_cours,0.0006281664559102455
ouverture_compte_epargne_recent,0.00037480323576280814
utilise_app_mobile,0.0003091967710524024
genre,0.0003004555274794891
variation_revenus_recente,0.00026444457435370415
consultation_pret_pro,0.00022215596184155316
consultation_placements,5.7200597554281116e-05
consultation_assurance_vie,4.97736502911107e-05
